file,physical_pages,parsed_pages,chars,frag_ratio,avg_line_len,fw_ratio,bad_pages,verdict
一种粗轧自适应调整方法及系统.pdf,11,9,7079,0.0168,23.76,0.0355,2,健康
一种解决薄规格带钢尾部失去张力飞入卷取机的方法.pdf,5,4,2406,0.0093,22.49,0.0357,1,健康
一种长时间未轧规格的宽度控制参数预调整方法.pdf,10,9,7340,0.0795,20.85,0.0587,0,健康
一种防止热连轧机粗轧立辊测压时带钢侧翻的控制方法.pdf,11,10,4648,0.0235,21.82,0.0534,3,健康
低配置热连轧带钢轧机宽度控制精度的改进_郭立平.pdf,4,4,5551,0.4304,11.89,0.4949,1,可疑
关于热轧带钢轧机自动宽度控制系统设计技术的探讨_付选.pdf,1,1,1293,0.0189,24.4,0.0482,0,健康
减小热轧中宽带钢宽度偏差的措施_王四海.pdf,3,0,0,0.0,0.0,0.0,0,无文本层扫描件
减小热轧带钢楔形的措施_田宝生.pdf,3,3,4576,0.0636,19.39,0.0527,0,健康
减少热轧带钢头尾不规则形状延伸技术研究与实践_曾龙华.pdf,4,4,2807,0.0316,29.55,0.0394,0,健康
唐钢1810mm热带生产线宽度控制分析_吕长宝.pdf,4,4,4895,0.127,15.94,0.0334,0,健康
唐钢1810mm生产线热轧带钢宽度精度控制_董跃星.pdf,3,3,3202,0.0256,20.53,0.0375,0,健康
在热轧宽带钢粗轧机列中缩小板坯宽度的压边机.pdf,12,0,0,0.0,0.0,0.0,0,无文本层扫描件
基于ABC-LightGBM模型和SHAP解释的热连轧带钢宽度预测_李京栋.pdf,15,15,11311,0.3472,21.34,0.0318,3,可疑
基于SA-SCSO-SCN神经网络的热轧过程精轧的带钢宽度控制方法.pdf,16,15,6807,0.0788,15.33,0.061,4,健康
基于因子分析的板带热轧产品质量缺陷诊断_彭文.pdf,6,6,9033,0.182,15.96,0.0697,0,健康
基于增量学习树模型的带钢精轧宽度预测_王家亮.pdf,9,9,17295,0.1597,9.09,0.0,0,健康
基于大侧压设备的楔形带钢宽度控制方法.pdf,16,16,14337,0.0144,22.87,0.0477,2,健康
